Track,Test Case,Matcher,Type,Precision (P),Recall (R),Residual Recall (R+),F1,"# of TP","# of FP","# of FN","# of Correspondences",Time,Time (HH:MM:SS),http://a.com/matcherThreshold,http://a.com/matcherStrategy,http://a.com/backgroundDataset
conference,conference-iasted,COMBINED_Emb,INSTANCES,0.0,0.0,0.0,0.0,0,0,0,0,-,-,-,-,-
conference,conference-ekaw,COMBINED_Emb,ALL,0.06542056074766354,0.56,0.3125,0.11715481171548117,14,200,11,214,0,00:00:00,-,-,-
conference,conference-ekaw,COMBINED_Emb,CLASSES,0.08783783783783784,0.5652173913043478,0.3333333333333333,0.152046783625731,13,135,10,148,-,-,-,-,-
conference,conference-ekaw,COMBINED_Emb,PROPERTIES,0.015151515151515152,0.5,0.0,0.029411764705882356,1,65,1,66,-,-,-,-,-
conference,conference-ekaw,COMBINED_Emb,INSTANCES,0.0,0.0,0.0,0.0,0,0,0,0,-,-,-,-,-
conference,conference-edas,COMBINED_Emb,ALL,0.043824701195219126,0.6470588235294118,0.25,0.08208955223880599,11,240,6,251,0,00:00:00,-,-,-
conference,conference-edas,COMBINED_Emb,CLASSES,0.058823529411764705,0.6428571428571429,0.2857142857142857,0.10778443113772455,9,144,5,153,-,-,-,-,-
conference,conference-edas,COMBINED_Emb,PROPERTIES,0.02040816326530612,0.6666666666666666,0.0,0.0396039603960396,2,96,1,98,-,-,-,-,-
conference,conference-edas,COMBINED_Emb,INSTANCES,0.0,0.0,0.0,0.0,0,0,0,0,-,-,-,-,-
conference,cmt-iasted,COMBINED_Emb,ALL,0.023255813953488372,1.0,0.0,0.04545454545454545,4,168,0,172,0,00:00:00,-,-,-
conference,cmt-iasted,COMBINED_Emb,CLASSES,0.04395604395604396,1.0,0.0,0.08421052631578947,4,87,0,91,-,-,-,-,-
conference,cmt-iasted,COMBINED_Emb,PROPERTIES,0.0,0.0,0.0,0.0,0,81,0,81,-,-,-,-,-
conference,cmt-iasted,COMBINED_Emb,INSTANCES,0.0,0.0,0.0,0.0,0,0,0,0,-,-,-,-,-
conference,ekaw-sigkdd,COMBINED_Emb,ALL,0.05714285714285714,0.7272727272727273,0.25,0.10596026490066225,8,132,3,140,0,00:00:00,-,-,-
conference,ekaw-sigkdd,COMBINED_Emb,CLASSES,0.0761904761904762,0.7272727272727273,0.25,0.13793103448275865,8,97,3,105,-,-,-,-,-
