Track,Matcher,Type,Macro Precision (P),Macro Recall (R),Residual Macro Recall (R+),Macro F1,Micro Precision (P),Micro Recall (R),Residual Micro Recall (R+),Micro F1,"# of TP","# of Residual TP","# of FP","# of FN","# of Correspondences",Total Runtime,Total Runtime(HH:MM:SS),http://a.com/matcherThreshold,http://a.com/matcherStrategy,http://a.com/backgroundDataset
conference,COMBINED_Syn,CLASSES,0.6393645688402723,0.6686955084797518,0.17142857142857143,0.6537011913711714,0.6183206106870229,0.6254826254826255,0.17796610169491525,0.6218809980806141,162,21,100,97,262,-,-,-,-,-
conference,COMBINED_Syn,PROPERTIES,0.1153061224489796,0.22301587301587303,0.11111111111111109,0.1520155112983531,0.15053763440860216,0.30434782608695654,0.11428571428571428,0.20143884892086333,14,4,79,32,93,-,-,-,-,-
conference,COMBINED_Syn,INSTANCES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,-,-,-,-,-
anatomy_track,COMBINED_Syn,ALL,0.8819188191881919,0.7882585751978892,0.3295711060948081,0.8324625566004877,0.8819188191881919,0.7882585751978892,0.3295711060948081,0.8324625566004877,1195,146,160,321,1355,0,00:00:00,-,-,-
anatomy_track,COMBINED_Syn,CLASSES,0.8832224685883222,0.7882585751978892,0.3295711060948081,0.8330428720808644,0.8832224685883222,0.7882585751978892,0.3295711060948081,0.8330428720808644,1195,146,158,321,1353,-,-,-,-,-
anatomy_track,COMBINED_Syn,PROPERTIES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2,0,2,-,-,-,-,-
anatomy_track,COMBINED_Syn,INSTANCES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,-,-,-,-,-
largebio,wikidata_syn,ALL,0.8941176470588236,0.33953834698436336,0.1015744032503809,0.49217485159201285,0.8941176470588236,0.33953834698436336,0.1015744032503809,0.49217485159201285,912,200,108,1774,1130,1470050344578,00:24:30,0.5,SYNONYMY,WikidataKnowledgeSource
largebio,wikidata_syn,CLASSES,0.8941176470588236,0.33953834698436336,0.1015744032503809,0.49217485159201285,0.8941176470588236,0.33953834698436336,0.1015744032503809,0.49217485159201285,912,200,108,1774,1130,-,-,0.5,SYNONYMY,WikidataKnowledgeSource
largebio,wikidata_syn,PROPERTIES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,-,-,0.5,SYNONYMY,WikidataKnowledgeSource
largebio,wikidata_syn,INSTANCES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,-,-,0.5,SYNONYMY,WikidataKnowledgeSource
conference,wikidata_syn,ALL,0.6585017947799902,0.5755153388746642,0.10236568986568988,0.6142181874736261,0.6360153256704981,0.5442622950819672,0.09803921568627451,0.5865724381625442,166,15,95,139,261,33786313865,00:00:33,0.5,SYNONYMY,WikidataKnowledgeSource
