Track,Test Case,Matcher,Type,Precision (P),Recall (R),Residual Recall (R+),F1,"# of TP","# of FP","# of FN","# of Correspondences",Time,Time (HH:MM:SS),http://a.com/matcherThreshold,http://a.com/matcherStrategy,http://a.com/backgroundDataset
conference,confof-edas,babelnet_syn,PROPERTIES,0.3333333333333333,0.6,0.3333333333333333,0.42857142857142855,3,6,2,9,-,-,0.5,SYNONYMY,BabelNet Symbolic
conference,confof-edas,babelnet_syn,INSTANCES,0.0,0.0,0.0,0.0,0,0,0,0,-,-,0.5,SYNONYMY,BabelNet Symbolic
conference,cmt-ekaw,babelnet_syn,ALL,0.625,0.45454545454545453,0.0,0.5263157894736842,5,3,6,8,3880099794,00:00:03,0.5,SYNONYMY,BabelNet Symbolic
conference,cmt-ekaw,babelnet_syn,CLASSES,1.0,0.625,0.0,0.7692307692307693,5,0,3,5,-,-,0.5,SYNONYMY,BabelNet Symbolic
conference,cmt-ekaw,babelnet_syn,PROPERTIES,0.0,0.0,0.0,0.0,0,3,3,3,-,-,0.5,SYNONYMY,BabelNet Symbolic
conference,cmt-ekaw,babelnet_syn,INSTANCES,0.0,0.0,0.0,0.0,0,0,0,0,-,-,0.5,SYNONYMY,BabelNet Symbolic
conference,edas-ekaw,babelnet_syn,ALL,0.6111111111111112,0.4782608695652174,0.15384615384615385,0.5365853658536586,11,7,12,18,1027366159,00:00:01,0.5,SYNONYMY,BabelNet Symbolic
conference,edas-ekaw,babelnet_syn,CLASSES,0.7857142857142857,0.5789473684210527,0.2,0.6666666666666667,11,3,8,14,-,-,0.5,SYNONYMY,BabelNet Symbolic
conference,edas-ekaw,babelnet_syn,PROPERTIES,0.0,0.0,0.0,0.0,0,4,4,4,-,-,0.5,SYNONYMY,BabelNet Symbolic
conference,edas-ekaw,babelnet_syn,INSTANCES,0.0,0.0,0.0,0.0,0,0,0,0,-,-,0.5,SYNONYMY,BabelNet Symbolic
conference,iasted-sigkdd,babelnet_syn,ALL,0.6111111111111112,0.7333333333333333,0.0,0.6666666666666666,11,7,4,18,546749179,00:00:00,0.5,SYNONYMY,BabelNet Symbolic
conference,iasted-sigkdd,babelnet_syn,CLASSES,0.9166666666666666,0.7333333333333333,0.0,0.8148148148148148,11,1,4,12,-,-,0.5,SYNONYMY,BabelNet Symbolic
conference,iasted-sigkdd,babelnet_syn,PROPERTIES,0.0,0.0,0.0,0.0,0,6,0,6,-,-,0.5,SYNONYMY,BabelNet Symbolic
conference,iasted-sigkdd,babelnet_syn,INSTANCES,0.0,0.0,0.0,0.0,0,0,0,0,-,-,0.5,SYNONYMY,BabelNet Symbolic
conference,cmt-edas,babelnet_syn,ALL,0.6153846153846154,0.6153846153846154,0.0,0.6153846153846154,8,5,5,13,9499003519,00:00:09,0.5,SYNONYMY,BabelNet Symbolic
conference,cmt-edas,babelnet_syn,CLASSES,0.8888888888888888,1.0,0.0,0.9411764705882353,8,1,0,9,-,-,0.5,SYNONYMY,BabelNet Symbolic
conference,cmt-edas,babelnet_syn,PROPERTIES,0.0,0.0,0.0,0.0,0,4,5,4,-,-,0.5,SYNONYMY,BabelNet Symbolic
conference,cmt-edas,babelnet_syn,INSTANCES,0.0,0.0,0.0,0.0,0,0,0,0,-,-,0.5,SYNONYMY,BabelNet Symbolic
conference,conference-iasted,babelnet_syn,ALL,0.4444444444444444,0.2857142857142857,0.0,0.34782608695652173,4,5,10,9,1015220644,00:00:01,0.5,SYNONYMY,BabelNet Symbolic
conference,conference-iasted,babelnet_syn,CLASSES,0.5,0.3076923076923077,0.0,0.380952380952381,4,4,9,8,-,-,0.5,SYNONYMY,BabelNet Symbolic
conference,conference-iasted,babelnet_syn,PROPERTIES,0.0,0.0,0.0,0.0,0,1,1,1,-,-,0.5,SYNONYMY,BabelNet Symbolic
conference,conference-iasted,babelnet_syn,INSTANCES,0.0,0.0,0.0,0.0,0,0,0,0,-,-,0.5,SYNONYMY,BabelNet Symbolic
conference,conference-ekaw,babelnet_syn,ALL,0.5882352941176471,0.4,0.0625,0.4761904761904762,10,7,15,17,607429810,00:00:00,0.5,SYNONYMY,BabelNet Symbolic
